platform,launch_month,ad_category_id,dev_cost,marketing_cost,users_reached,downloads_or_accesses,avg_bounce_rate,cumulative_feedback_from_customers,city_id
PDF WhatsApp Push,2021-01-01,A001,236570,66060,23509,16319,0.5255,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
PDF WhatsApp Push,2021-02-01,A001,156865,99122,19472,17017,0.8253,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
PDF WhatsApp Push,2021-03-01,A001,242728,46087,8471,2891,0.6806,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
PDF WhatsApp Push,2021-04-01,A001,147695,78868,46796,15640,0.6617000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
PDF WhatsApp Push,2021-05-01,A001,325906,135644,16805,3231,0.769,"The site takes too long to load on average phones.
People didn’t wait around.",C005
PDF WhatsApp Push,2021-06-01,A001,248972,53225,35268,16551,0.45740000000000003,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
PDF WhatsApp Push,2021-07-01,A001,197235,36643,13329,6091,0.8301000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
PDF WhatsApp Push,2021-08-01,A001,188777,66727,39865,17866,0.7614,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
PDF WhatsApp Push,2021-09-01,A001,99033,41005,33272,28073,0.4338,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
PDF WhatsApp Push,2021-10-01,A001,221877,95697,47845,21517,0.7539,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010
PDF WhatsApp Push,2021-11-01,A001,246923,46029,11397,5278,0.6718000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
PDF WhatsApp Push,2021-12-01,A001,106832,44226,37373,28240,0.4409,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
E-paper Mobile Web,2021-01-01,A003,195725,93646,40525,23092,0.6292,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
E-paper Mobile Web,2021-02-01,A003,225016,90603,29570,22651,0.6423000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
E-paper Mobile Web,2021-03-01,A003,99873,58731,23284,7898,0.4829,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
E-paper Mobile Web,2021-04-01,A003,120372,98926,23994,14217,0.8728,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
E-paper Mobile Web,2021-05-01,A003,169464,35997,28284,9055,0.825,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
E-paper Mobile Web,2021-06-01,A003,338339,82663,26785,4784,0.778,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C008
E-paper Mobile Web,2021-07-01,A003,226451,85506,22833,7708,0.7345,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
E-paper Mobile Web,2021-08-01,A003,197322,79815,30122,25418,0.6311,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010
E-paper Mobile Web,2021-09-01,A003,247823,72092,10017,3841,0.6059,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
E-paper Mobile Web,2021-10-01,A003,180082,92539,21370,13237,0.7254999999999999,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
E-paper Mobile Web,2021-11-01,A003,85110,96077,34252,18724,0.6727,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
E-paper Mobile Web,2021-12-01,A003,92087,51817,12999,6608,0.4311,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
Mobile App Beta,2021-01-01,A002,234834,67861,27436,23043,0.6563,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
Mobile App Beta,2021-02-01,A002,415324,120038,22251,7564,0.7709999999999999,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C006
Mobile App Beta,2021-03-01,A002,162617,43428,47963,15016,0.8031999999999999,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
Mobile App Beta,2021-04-01,A002,180483,73934,7096,4954,0.6296,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
Mobile App Beta,2021-05-01,A002,89596,40258,30279,26586,0.426,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
Mobile App Beta,2021-06-01,A002,187539,87775,48363,30763,0.7931,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010
Mobile App Beta,2021-07-01,A002,98313,35469,31201,26898,0.5007,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
Mobile App Beta,2021-08-01,A002,193175,58854,24715,8189,0.5293,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
Mobile App Beta,2021-09-01,A002,194914,36256,34309,18913,0.4824,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
Mobile App Beta,2021-10-01,A002,103705,63937,20078,9157,0.5650999999999999,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
Mobile App Beta,2021-11-01,A002,153445,31651,10105,7462,0.7784,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
Mobile App Beta,2021-12-01,A002,183892,80288,34312,30495,0.6597,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
Responsive Web Version,2021-01-01,A004,82023,55051,7839,3558,0.5024000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
Responsive Web Version,2021-02-01,A004,199654,57386,8384,5805,0.8389,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
Responsive Web Version,2021-03-01,A004,160073,46184,48619,20364,0.8398,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
Responsive Web Version,2021-04-01,A004,262756,167913,16821,5065,0.813,,C010
Responsive Web Version,2021-05-01,A004,172197,63787,47821,30567,0.8353,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
Responsive Web Version,2021-06-01,A004,144429,51621,18493,10695,0.5194,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
Responsive Web Version,2021-07-01,A004,184195,89792,22069,19491,0.6256,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
Responsive Web Version,2021-08-01,A004,113848,75253,12531,8334,0.8925,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
Responsive Web Version,2021-09-01,A004,248876,64051,42051,21433,0.7859999999999999,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
Responsive Web Version,2021-10-01,A004,226451,79811,12736,4692,0.41359999999999997,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
Responsive Web Version,2021-11-01,A004,107766,60447,12710,4966,0.4326,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
Responsive Web Version,2021-12-01,A004,148099,60254,6619,2880,0.632,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
