edition_id,city_id,language,state,month,copies_sold,copies_returned,net_circulation
ED1005,C005,Hindi,Rajasthan,2023-05-01,404389,13510,390879
ED1005,C005,Hindi,Rajasthan,2019-03-01,492943,25024,467919
ED1001,C001,Hindi,Uttar Pradesh,2023-07-01,168893,12285,156608
ED1003,C003,Hindi,Madhya Pradesh,2023-07-01,216540,10117,206423
ED1007,C007,Hindi,Jharkhand,2020-10-01,234563,13048,221515
ED1001,C001,Hindi,Uttar Pradesh,2024-06-01,149986,6387,143599
ED1001,C001,Hindi,Uttar Pradesh,2024-04-01,155269,9394,145875
ED1003,C003,Hindi,Madhya Pradesh,2019-02-01,274749,13327,261422
ED1005,C005,Hindi,Rajasthan,2019-05-01,498423,30933,467490
ED1006,C006,English,Maharashtra,2021-07-01,377357,17925,359432
ED1010,C010,Hindi,Uttar Pradesh,2023-11-01,389952,17470,372482
ED1007,C007,Hindi,Jharkhand,2020-05-01,234054,14644,219410
ED1001,C001,Hindi,Uttar Pradesh,2022-04-01,166729,5975,160754
ED1002,C002,English,Delhi,2021-06-01,351210,18616,332594
ED1006,C006,English,Maharashtra,2024-11-01,304809,13930,290879
ED1005,C005,Hindi,Rajasthan,2022-05-01,422488,22678,399810
ED1002,C002,English,Delhi,2020-03-01,356422,17505,338917
ED1009,C009,Hindi,Gujarat,2023-04-01,266904,13638,253266
ED1004,C004,Hindi,Bihar,2022-08-01,231765,14158,217607
ED1003,C003,Hindi,Madhya Pradesh,2024-10-01,207963,9464,198499
ED1007,C007,Hindi,Jharkhand,2020-03-01,232783,7954,224829
ED1006,C006,English,Maharashtra,2019-08-01,424402,26771,397631
ED1001,C001,Hindi,Uttar Pradesh,2021-10-01,194492,12156,182336
ED1010,C010,Hindi,Uttar Pradesh,2022-03-01,390340,12438,377902
ED1007,C007,Hindi,Jharkhand,2022-11-01,216680,7052,209628
ED1005,C005,Hindi,Rajasthan,2021-12-01,422959,18890,404069
ED1004,C004,Hindi,Bihar,2022-03-01,215106,13963,201143
ED1003,C003,Hindi,Madhya Pradesh,2024-07-01,211625,15649,195976
ED1002,C002,English,Delhi,2023-01-01,319153,13703,305450
ED1002,C002,English,Delhi,2024-02-01,299137,22038,277099
ED1006,C006,English,Maharashtra,2023-10-01,333322,13546,319776
ED1006,C006,English,Maharashtra,2019-04-01,413633,28647,384986
ED1005,C005,Hindi,Rajasthan,2023-01-01,395177,20456,374721
ED1006,C006,English,Maharashtra,2020-04-01,389210,11735,377475
ED1008,C008,Hindi,Uttar Pradesh,2024-08-01,283139,21735,261404
ED1009,C009,Hindi,Gujarat,2024-01-01,231585,10447,221138
ED1010,C010,Hindi,Uttar Pradesh,2024-09-01,364199,26695,337504
ED1008,C008,Hindi,Uttar Pradesh,2024-06-01,299314,17723,281591
ED1009,C009,Hindi,Gujarat,2019-08-01,312856,13297,299559
ED1007,C007,Hindi,Jharkhand,2024-02-01,179614,10816,168798
ED1005,C005,Hindi,Rajasthan,2020-01-01,447359,26679,420680
ED1002,C002,English,Delhi,2024-04-01,291694,22100,269594
ED1001,C001,Hindi,Uttar Pradesh,2023-02-01,171576,11259,160317
ED1010,C010,Hindi,Uttar Pradesh,2024-05-01,363888,17379,346509
ED1006,C006,English,Maharashtra,2023-09-01,346960,20431,326529
ED1002,C002,English,Delhi,2019-01-01,396250,15569,380681
ED1005,C005,Hindi,Rajasthan,2023-07-01,386491,28006,358485
ED1009,C009,Hindi,Gujarat,2020-10-01,295294,20493,274801
ED1010,C010,Hindi,Uttar Pradesh,2019-04-01,495571,36995,458576
ED1002,C002,English,Delhi,2019-06-01,387789,11738,376051
ED1008,C008,Hindi,Uttar Pradesh,2020-07-01,351326,11148,340178
ED1010,C010,Hindi,Uttar Pradesh,2021-01-01,413556,31538,382018
ED1007,C007,Hindi,Jharkhand,2019-06-01,235078,10381,224697
ED1009,C009,Hindi,Gujarat,2020-04-01,312704,17758,294946
ED1002,C002,English,Delhi,2023-12-01,292264,19810,272454
ED1005,C005,Hindi,Rajasthan,2024-05-01,382678,27859,354819
ED1003,C003,Hindi,Madhya Pradesh,2024-08-01,215145,13945,201200
ED1003,C003,Hindi,Madhya Pradesh,2024-12-01,211342,16081,195261
ED1002,C002,English,Delhi,2020-01-01,374659,20241,354418
ED1005,C005,Hindi,Rajasthan,2022-06-01,430228,15138,415090
ED1008,C008,Hindi,Uttar Pradesh,2021-05-01,351882,27321,324561
ED1001,C001,Hindi,Uttar Pradesh,2019-11-01,208186,8632,199554
ED1002,C002,English,Delhi,2019-07-01,384598,20109,364489
ED1006,C006,English,Maharashtra,2021-10-01,362712,24978,337734
ED1004,C004,Hindi,Bihar,2021-11-01,240275,13003,227272
ED1002,C002,English,Delhi,2021-02-01,341324,10896,330428
ED1010,C010,Hindi,Uttar Pradesh,2019-07-01,478384,26410,451974
ED1003,C003,Hindi,Madhya Pradesh,2019-12-01,281893,17252,264641
ED1008,C008,Hindi,Uttar Pradesh,2020-12-01,370710,20295,350415
ED1009,C009,Hindi,Gujarat,2020-09-01,304566,22870,281696
ED1010,C010,Hindi,Uttar Pradesh,2020-09-01,479906,26402,453504
ED1006,C006,English,Maharashtra,2023-01-01,348027,24975,323052
ED1002,C002,English,Delhi,2019-10-01,372975,27522,345453
ED1006,C006,English,Maharashtra,2020-11-01,397852,28110,369742
ED1003,C003,Hindi,Madhya Pradesh,2019-05-01,297817,20351,277466
ED1008,C008,Hindi,Uttar Pradesh,2021-09-01,329679,12959,316720
ED1009,C009,Hindi,Gujarat,2019-06-01,334610,22617,311993
ED1005,C005,Hindi,Rajasthan,2023-09-01,385975,11796,374179
ED1010,C010,Hindi,Uttar Pradesh,2024-07-01,377974,24863,353111
ED1004,C004,Hindi,Bihar,2021-09-01,243443,17615,225828
ED1008,C008,Hindi,Uttar Pradesh,2021-06-01,354278,19786,334492
ED1005,C005,Hindi,Rajasthan,2020-07-01,448097,22270,425827
ED1003,C003,Hindi,Madhya Pradesh,2023-01-01,236649,17145,219504
ED1005,C005,Hindi,Rajasthan,2019-12-01,488725,16187,472538
ED1001,C001,Hindi,Uttar Pradesh,2021-08-01,191534,11091,180443
ED1007,C007,Hindi,Jharkhand,2024-12-01,188572,8788,179784
ED1008,C008,Hindi,Uttar Pradesh,2022-10-01,321968,10534,311434
ED1004,C004,Hindi,Bihar,2020-04-01,259434,8473,250961
ED1007,C007,Hindi,Jharkhand,2021-02-01,222154,11636,210518
ED1010,C010,Hindi,Uttar Pradesh,2020-01-01,444565,25107,419458
ED1004,C004,Hindi,Bihar,2020-07-01,241009,14832,226177
ED1001,C001,Hindi,Uttar Pradesh,2023-08-01,162799,10087,152712
ED1003,C003,Hindi,Madhya Pradesh,2024-06-01,218393,11815,206578
ED1005,C005,Hindi,Rajasthan,2023-03-01,407058,26710,380348
ED1003,C003,Hindi,Madhya Pradesh,2021-07-01,265136,13672,251464
ED1005,C005,Hindi,Rajasthan,2024-03-01,357236,21401,335835
ED1002,C002,English,Delhi,2019-05-01,397820,27489,370331
ED1001,C001,Hindi,Uttar Pradesh,2019-03-01,198628,13704,184924
ED1008,C008,Hindi,Uttar Pradesh,2022-09-01,317011,13471,303540
ED1002,C002,English,Delhi,2022-02-01,336080,11781,324299
ED1005,C005,Hindi,Rajasthan,2019-04-01,492394,15835,476559
ED1010,C010,Hindi,Uttar Pradesh,2024-08-01,375754,12602,363152
ED1005,C005,Hindi,Rajasthan,2020-12-01,473341,22205,451136
ED1005,C005,Hindi,Rajasthan,2024-04-01,363198,18301,344897
ED1003,C003,Hindi,Madhya Pradesh,2024-05-01,215893,16101,199792
ED1005,C005,Hindi,Rajasthan,2024-10-01,363181,14806,348375
ED1003,C003,Hindi,Madhya Pradesh,2022-02-01,238270,8488,229782
ED1004,C004,Hindi,Bihar,2020-08-01,242482,11939,230543
ED1004,C004,Hindi,Bihar,2019-12-01,271003,20167,250836
ED1010,C010,Hindi,Uttar Pradesh,2019-10-01,507012,19757,487255
ED1002,C002,English,Delhi,2022-11-01,327736,20675,307061
ED1007,C007,Hindi,Jharkhand,2020-07-01,237334,8538,228796
ED1009,C009,Hindi,Gujarat,2022-12-01,288006,20972,267034
ED1002,C002,English,Delhi,2020-07-01,360134,23892,336242
ED1008,C008,Hindi,Uttar Pradesh,2019-11-01,385207,25419,359788
ED1005,C005,Hindi,Rajasthan,2022-04-01,406326,24740,381586
ED1006,C006,English,Maharashtra,2020-06-01,408191,25077,383114
ED1001,C001,Hindi,Uttar Pradesh,2024-01-01,162016,12321,149695
ED1009,C009,Hindi,Gujarat,2019-04-01,323016,24055,298961
ED1001,C001,Hindi,Uttar Pradesh,2021-07-01,184874,11596,173278
ED1001,C001,Hindi,Uttar Pradesh,2024-10-01,161378,10424,150954
ED1006,C006,English,Maharashtra,2022-03-01,349292,10742,338550
ED1009,C009,Hindi,Gujarat,2022-11-01,265761,10014,255747
ED1001,C001,Hindi,Uttar Pradesh,2022-09-01,180272,13479,166793
ED1005,C005,Hindi,Rajasthan,2019-07-01,495839,27892,467947
ED1001,C001,Hindi,Uttar Pradesh,2024-11-01,146927,7829,139098
ED1006,C006,English,Maharashtra,2021-05-01,394747,29544,365203
ED1010,C010,Hindi,Uttar Pradesh,2019-05-01,480926,35500,445426
ED1009,C009,Hindi,Gujarat,2020-01-01,298464,18346,280118
ED1007,C007,Hindi,Jharkhand,2021-07-01,211986,7591,204395
ED1010,C010,Hindi,Uttar Pradesh,2021-02-01,437450,18105,419345
ED1006,C006,English,Maharashtra,2024-01-01,307998,13660,294338
ED1004,C004,Hindi,Bihar,2019-05-01,256933,11125,245808
ED1008,C008,Hindi,Uttar Pradesh,2023-01-01,291126,9742,281384
ED1005,C005,Hindi,Rajasthan,2022-12-01,431462,25557,405905
ED1010,C010,Hindi,Uttar Pradesh,2024-03-01,360722,23761,336961
ED1002,C002,English,Delhi,2024-05-01,273965,21792,252173
ED1001,C001,Hindi,Uttar Pradesh,2019-07-01,204007,12846,191161
ED1004,C004,Hindi,Bihar,2019-08-01,277633,19458,258175
ED1003,C003,Hindi,Madhya Pradesh,2020-09-01,262987,9491,253496
ED1003,C003,Hindi,Madhya Pradesh,2020-10-01,270763,19009,251754
ED1003,C003,Hindi,Madhya Pradesh,2023-08-01,237182,15764,221418
ED1002,C002,English,Delhi,2024-01-01,282501,17096,265405
ED1007,C007,Hindi,Jharkhand,2024-10-01,181025,11340,169685
ED1006,C006,English,Maharashtra,2021-12-01,375713,13938,361775
ED1001,C001,Hindi,Uttar Pradesh,2022-06-01,177239,13834,163405
ED1002,C002,English,Delhi,2022-01-01,333163,13288,319875
ED1009,C009,Hindi,Gujarat,2024-09-01,234482,17217,217265
ED1001,C001,Hindi,Uttar Pradesh,2023-09-01,163687,5466,158221
ED1003,C003,Hindi,Madhya Pradesh,2020-03-01,272221,21026,251195
ED1007,C007,Hindi,Jharkhand,2021-09-01,230861,9420,221441
ED1005,C005,Hindi,Rajasthan,2022-01-01,406330,31543,374787
ED1008,C008,Hindi,Uttar Pradesh,2021-04-01,331517,14384,317133
ED1001,C001,Hindi,Uttar Pradesh,2021-01-01,192396,12034,180362
ED1008,C008,Hindi,Uttar Pradesh,2022-02-01,309472,10895,298577
ED1004,C004,Hindi,Bihar,2022-09-01,222260,14531,207729
ED1008,C008,Hindi,Uttar Pradesh,2022-11-01,337050,21221,315829
ED1005,C005,Hindi,Rajasthan,2020-03-01,445242,18829,426413
ED1006,C006,English,Maharashtra,2024-12-01,311533,22068,289465
ED1002,C002,English,Delhi,2022-03-01,310536,10843,299693
ED1002,C002,English,Delhi,2019-11-01,400587,29577,371010
ED1001,C001,Hindi,Uttar Pradesh,2023-04-01,157662,11393,146269
ED1010,C010,Hindi,Uttar Pradesh,2021-08-01,433448,22366,411082
ED1009,C009,Hindi,Gujarat,2019-01-01,324890,12993,311897
ED1009,C009,Hindi,Gujarat,2020-02-01,320761,14024,306737
ED1004,C004,Hindi,Bihar,2024-06-01,196578,14879,181699
ED1004,C004,Hindi,Bihar,2022-06-01,217818,10245,207573
ED1009,C009,Hindi,Gujarat,2024-04-01,236282,15681,220601
ED1005,C005,Hindi,Rajasthan,2021-07-01,421446,30319,391127
ED1001,C001,Hindi,Uttar Pradesh,2020-07-01,191981,10816,181165
ED1004,C004,Hindi,Bihar,2021-05-01,249319,14148,235171
ED1006,C006,English,Maharashtra,2021-11-01,377815,17511,360304
ED1009,C009,Hindi,Gujarat,2021-04-01,294325,15248,279077
ED1007,C007,Hindi,Jharkhand,2024-08-01,192417,7528,184889
ED1001,C001,Hindi,Uttar Pradesh,2024-02-01,156049,9881,146168
ED1003,C003,Hindi,Madhya Pradesh,2022-03-01,250696,9111,241585
ED1008,C008,Hindi,Uttar Pradesh,2019-03-01,377684,22830,354854
ED1001,C001,Hindi,Uttar Pradesh,2021-06-01,185010,12024,172986
ED1003,C003,Hindi,Madhya Pradesh,2024-01-01,212594,8304,204290
ED1010,C010,Hindi,Uttar Pradesh,2023-06-01,404964,12252,392712
ED1004,C004,Hindi,Bihar,2023-02-01,211696,7360,204336
ED1005,C005,Hindi,Rajasthan,2024-09-01,351552,20359,331193
ED1007,C007,Hindi,Jharkhand,2022-02-01,215220,12387,202833
ED1010,C010,Hindi,Uttar Pradesh,2020-08-01,439256,15046,424210
ED1007,C007,Hindi,Jharkhand,2020-06-01,234837,17358,217479
ED1007,C007,Hindi,Jharkhand,2019-01-01,244851,15400,229451
ED1009,C009,Hindi,Gujarat,2022-08-01,263343,11298,252045
ED1004,C004,Hindi,Bihar,2022-05-01,225790,8189,217601
ED1005,C005,Hindi,Rajasthan,2024-06-01,359048,23375,335673
ED1007,C007,Hindi,Jharkhand,2019-08-01,252600,10479,242121
ED1003,C003,Hindi,Madhya Pradesh,2021-09-01,249931,11173,238758
ED1004,C004,Hindi,Bihar,2020-12-01,245115,8048,237067
ED1006,C006,English,Maharashtra,2024-07-01,318741,21801,296940
ED1002,C002,English,Delhi,2024-06-01,297083,22671,274412
ED1003,C003,Hindi,Madhya Pradesh,2023-05-01,232941,18260,214681
ED1010,C010,Hindi,Uttar Pradesh,2021-03-01,417421,25048,392373
ED1003,C003,Hindi,Madhya Pradesh,2020-08-01,281482,12595,268887
ED1005,C005,Hindi,Rajasthan,2024-08-01,358432,16536,341896
ED1009,C009,Hindi,Gujarat,2023-08-01,255668,15172,240496
ED1007,C007,Hindi,Jharkhand,2022-03-01,200941,14065,186876
ED1009,C009,Hindi,Gujarat,2019-03-01,327435,22851,304584
ED1007,C007,Hindi,Jharkhand,2022-01-01,203847,13715,190132
ED1005,C005,Hindi,Rajasthan,2021-08-01,421999,13339,408660
ED1008,C008,Hindi,Uttar Pradesh,2021-07-01,341449,18181,323268
ED1002,C002,English,Delhi,2021-09-01,352928,22534,330394
ED1002,C002,English,Delhi,2022-07-01,323679,21547,302132
ED1010,C010,Hindi,Uttar Pradesh,2021-04-01,443605,31772,411833
ED1003,C003,Hindi,Madhya Pradesh,2024-09-01,212229,11973,200256
ED1009,C009,Hindi,Gujarat,2024-10-01,247205,10947,236258
ED1006,C006,English,Maharashtra,2020-10-01,387298,30334,356964
ED1002,C002,English,Delhi,2020-09-01,375918,19433,356485
ED1001,C001,Hindi,Uttar Pradesh,2019-08-01,205447,12781,192666
ED1002,C002,English,Delhi,2020-06-01,370168,20752,349416
ED1008,C008,Hindi,Uttar Pradesh,2022-06-01,309216,14045,295171
ED1010,C010,Hindi,Uttar Pradesh,2022-05-01,423964,26807,397157
ED1008,C008,Hindi,Uttar Pradesh,2021-11-01,358005,21923,336082
ED1008,C008,Hindi,Uttar Pradesh,2022-12-01,325235,10835,314400
ED1009,C009,Hindi,Gujarat,2020-11-01,305201,22834,282367
ED1010,C010,Hindi,Uttar Pradesh,2023-02-01,373504,11939,361565
ED1002,C002,English,Delhi,2024-09-01,292026,19106,272920
ED1001,C001,Hindi,Uttar Pradesh,2021-05-01,192181,10922,181259
ED1001,C001,Hindi,Uttar Pradesh,2022-08-01,168287,7054,161233
ED1001,C001,Hindi,Uttar Pradesh,2022-07-01,179596,8762,170834
ED1002,C002,English,Delhi,2019-02-01,371419,23489,347930
ED1003,C003,Hindi,Madhya Pradesh,2020-12-01,260310,20595,239715
ED1008,C008,Hindi,Uttar Pradesh,2023-06-01,304510,10203,294307
ED1009,C009,Hindi,Gujarat,2023-06-01,247690,12116,235574
ED1001,C001,Hindi,Uttar Pradesh,2024-07-01,160376,6900,153476
ED1001,C001,Hindi,Uttar Pradesh,2019-12-01,201150,15258,185892
ED1005,C005,Hindi,Rajasthan,2022-03-01,407619,21910,385709
ED1009,C009,Hindi,Gujarat,2019-11-01,321586,24801,296785
ED1003,C003,Hindi,Madhya Pradesh,2021-11-01,263279,12141,251138
ED1004,C004,Hindi,Bihar,2024-11-01,195545,11170,184375
ED1008,C008,Hindi,Uttar Pradesh,2022-08-01,333280,23147,310133
ED1007,C007,Hindi,Jharkhand,2019-03-01,240891,9682,231209
ED1010,C010,Hindi,Uttar Pradesh,2022-01-01,430430,16040,414390
ED1007,C007,Hindi,Jharkhand,2020-08-01,242274,17654,224620
ED1003,C003,Hindi,Madhya Pradesh,2021-10-01,251391,19909,231482
ED1008,C008,Hindi,Uttar Pradesh,2019-10-01,384291,12636,371655
ED1010,C010,Hindi,Uttar Pradesh,2019-02-01,499292,22929,476363
ED1002,C002,English,Delhi,2019-12-01,395790,12887,382903
ED1004,C004,Hindi,Bihar,2019-03-01,276670,11636,265034
ED1007,C007,Hindi,Jharkhand,2023-06-01,202048,6080,195968
ED1008,C008,Hindi,Uttar Pradesh,2019-04-01,398299,16477,381822
ED1007,C007,Hindi,Jharkhand,2021-12-01,210325,16350,193975
ED1009,C009,Hindi,Gujarat,2022-10-01,285568,16700,268868
ED1009,C009,Hindi,Gujarat,2023-10-01,268108,14074,254034
ED1006,C006,English,Maharashtra,2024-03-01,330634,21466,309168
ED1002,C002,English,Delhi,2019-08-01,379822,21149,358673
ED1001,C001,Hindi,Uttar Pradesh,2020-12-01,204263,10604,193659
ED1001,C001,Hindi,Uttar Pradesh,2020-04-01,193147,11422,181725
ED1006,C006,English,Maharashtra,2023-04-01,321252,11856,309396
ED1007,C007,Hindi,Jharkhand,2020-02-01,240730,17118,223612
ED1004,C004,Hindi,Bihar,2023-12-01,208141,12397,195744
ED1004,C004,Hindi,Bihar,2021-08-01,229744,9684,220060
ED1005,C005,Hindi,Rajasthan,2019-09-01,511248,26801,484447
ED1008,C008,Hindi,Uttar Pradesh,2021-02-01,359948,15287,344661
ED1007,C007,Hindi,Jharkhand,2023-08-01,186610,8792,177818
ED1004,C004,Hindi,Bihar,2023-01-01,207491,10981,196510
ED1006,C006,English,Maharashtra,2020-09-01,395698,28423,367275
ED1005,C005,Hindi,Rajasthan,2022-08-01,429263,13831,415432
ED1005,C005,Hindi,Rajasthan,2022-11-01,416265,18289,397976
ED1006,C006,English,Maharashtra,2024-06-01,327225,10187,317038
ED1001,C001,Hindi,Uttar Pradesh,2019-10-01,205192,6805,198387
ED1004,C004,Hindi,Bihar,2021-10-01,233994,14684,219310
ED1001,C001,Hindi,Uttar Pradesh,2020-11-01,195830,12781,183049
ED1004,C004,Hindi,Bihar,2019-06-01,277718,11991,265727
ED1009,C009,Hindi,Gujarat,2023-05-01,268292,15003,253289
ED1010,C010,Hindi,Uttar Pradesh,2023-09-01,405577,27776,377801
ED1006,C006,English,Maharashtra,2019-03-01,432945,18010,414935
ED1009,C009,Hindi,Gujarat,2021-02-01,286431,14594,271837
ED1003,C003,Hindi,Madhya Pradesh,2023-12-01,216335,17008,199327
ED1006,C006,English,Maharashtra,2024-10-01,303020,9716,293304
ED1002,C002,English,Delhi,2020-10-01,360098,17536,342562
ED1008,C008,Hindi,Uttar Pradesh,2023-08-01,298630,11882,286748
ED1004,C004,Hindi,Bihar,2024-09-01,197044,9743,187301
ED1006,C006,English,Maharashtra,2022-10-01,341316,10682,330634
ED1003,C003,Hindi,Madhya Pradesh,2022-05-01,229715,13548,216167
ED1009,C009,Hindi,Gujarat,2019-05-01,321591,22719,298872
ED1005,C005,Hindi,Rajasthan,2021-03-01,454923,29154,425769
ED1003,C003,Hindi,Madhya Pradesh,2019-10-01,291318,15276,276042
ED1002,C002,English,Delhi,2019-04-01,385918,15631,370287
ED1006,C006,English,Maharashtra,2019-01-01,421894,22522,399372
ED1004,C004,Hindi,Bihar,2024-02-01,197427,7095,190332
ED1001,C001,Hindi,Uttar Pradesh,2024-09-01,156904,6338,150566
ED1006,C006,English,Maharashtra,2023-02-01,322438,17714,304724
ED1003,C003,Hindi,Madhya Pradesh,2022-09-01,230079,13853,216226
ED1004,C004,Hindi,Bihar,2023-08-01,218647,11455,207192
ED1004,C004,Hindi,Bihar,2020-09-01,245314,13157,232157
ED1002,C002,English,Delhi,2020-05-01,349433,22561,326872
ED1009,C009,Hindi,Gujarat,2021-10-01,302901,14184,288717
ED1002,C002,English,Delhi,2022-10-01,320199,24615,295584
ED1002,C002,English,Delhi,2023-06-01,315684,17506,298178
ED1009,C009,Hindi,Gujarat,2020-03-01,319438,14097,305341
ED1005,C005,Hindi,Rajasthan,2019-02-01,474309,17406,456903
ED1004,C004,Hindi,Bihar,2020-11-01,254696,11582,243114
ED1001,C001,Hindi,Uttar Pradesh,2019-01-01,211806,11669,200137
ED1010,C010,Hindi,Uttar Pradesh,2024-04-01,345007,12867,332140
ED1005,C005,Hindi,Rajasthan,2022-09-01,395706,22363,373343
ED1008,C008,Hindi,Uttar Pradesh,2020-01-01,357592,13802,343790
ED1006,C006,English,Maharashtra,2019-10-01,402349,13818,388531
ED1004,C004,Hindi,Bihar,2024-03-01,191673,7207,184466
ED1002,C002,English,Delhi,2022-09-01,333296,26422,306874
ED1004,C004,Hindi,Bihar,2020-01-01,242186,11562,230624
ED1005,C005,Hindi,Rajasthan,2022-10-01,434571,22479,412092
ED1005,C005,Hindi,Rajasthan,2023-11-01,376918,25370,351548
ED1004,C004,Hindi,Bihar,2023-11-01,202428,10508,191920
ED1010,C010,Hindi,Uttar Pradesh,2022-04-01,395165,31086,364079
ED1003,C003,Hindi,Madhya Pradesh,2019-01-01,282436,10768,271668
ED1006,C006,English,Maharashtra,2023-05-01,325865,14547,311318
ED1006,C006,English,Maharashtra,2022-09-01,350362,25717,324645
ED1010,C010,Hindi,Uttar Pradesh,2019-03-01,500405,28526,471879
ED1008,C008,Hindi,Uttar Pradesh,2020-08-01,366111,19900,346211
ED1004,C004,Hindi,Bihar,2023-05-01,212634,8837,203797
ED1007,C007,Hindi,Jharkhand,2024-06-01,178080,8753,169327
ED1005,C005,Hindi,Rajasthan,2020-08-01,445977,30381,415596
ED1005,C005,Hindi,Rajasthan,2020-11-01,477280,23079,454201
ED1001,C001,Hindi,Uttar Pradesh,2022-11-01,183103,8634,174469
ED1004,C004,Hindi,Bihar,2022-10-01,215446,14739,200707
ED1003,C003,Hindi,Madhya Pradesh,2023-04-01,238467,9716,228751
ED1010,C010,Hindi,Uttar Pradesh,2024-12-01,374180,26217,347963
ED1009,C009,Hindi,Gujarat,2021-03-01,296487,10136,286351
ED1002,C002,English,Delhi,2021-12-01,328098,22971,305127
ED1007,C007,Hindi,Jharkhand,2024-03-01,178757,9871,168886
ED1008,C008,Hindi,Uttar Pradesh,2021-10-01,332029,20139,311890
ED1005,C005,Hindi,Rajasthan,2024-02-01,362743,22008,340735
ED1002,C002,English,Delhi,2021-05-01,333290,17654,315636
ED1006,C006,English,Maharashtra,2022-04-01,341419,12054,329365
ED1009,C009,Hindi,Gujarat,2024-08-01,231195,7247,223948
ED1008,C008,Hindi,Uttar Pradesh,2020-06-01,379174,20291,358883
ED1006,C006,English,Maharashtra,2019-02-01,420971,30706,390265
ED1003,C003,Hindi,Madhya Pradesh,2021-12-01,258495,10417,248078
ED1005,C005,Hindi,Rajasthan,2020-05-01,457401,22914,434487
ED1009,C009,Hindi,Gujarat,2022-06-01,264467,13767,250700
ED1010,C010,Hindi,Uttar Pradesh,2022-08-01,418387,32968,385419
ED1003,C003,Hindi,Madhya Pradesh,2019-06-01,276093,8698,267395
ED1002,C002,English,Delhi,2023-05-01,307469,18023,289446
ED1008,C008,Hindi,Uttar Pradesh,2024-05-01,297245,19047,278198
ED1009,C009,Hindi,Gujarat,2023-01-01,253619,9662,243957
ED1003,C003,Hindi,Madhya Pradesh,2022-06-01,253273,13780,239493
ED1010,C010,Hindi,Uttar Pradesh,2022-09-01,399465,25537,373928
ED1006,C006,English,Maharashtra,2024-05-01,321247,20089,301158
ED1006,C006,English,Maharashtra,2019-12-01,405002,23327,381675
ED1010,C010,Hindi,Uttar Pradesh,2024-02-01,354606,14872,339734
ED1008,C008,Hindi,Uttar Pradesh,2020-03-01,371097,12480,358617
ED1005,C005,Hindi,Rajasthan,2021-10-01,439290,17740,421550
ED1010,C010,Hindi,Uttar Pradesh,2023-08-01,401511,15689,385822
ED1002,C002,English,Delhi,2024-11-01,290649,15885,274764
ED1002,C002,English,Delhi,2024-10-01,287361,21671,265690
ED1006,C006,English,Maharashtra,2024-04-01,301702,22930,278772
ED1005,C005,Hindi,Rajasthan,2021-09-01,449135,28770,420365
ED1001,C001,Hindi,Uttar Pradesh,2020-08-01,198483,13054,185429
ED1003,C003,Hindi,Madhya Pradesh,2021-05-01,259870,10840,249030
ED1009,C009,Hindi,Gujarat,2019-09-01,307061,13997,293064
ED1005,C005,Hindi,Rajasthan,2021-01-01,427627,14963,412664
ED1010,C010,Hindi,Uttar Pradesh,2020-10-01,436144,31892,404252
ED1001,C001,Hindi,Uttar Pradesh,2020-01-01,192078,6990,185088
ED1005,C005,Hindi,Rajasthan,2020-06-01,483654,14859,468795
ED1005,C005,Hindi,Rajasthan,2024-07-01,348448,15182,333266
